Game,Error,Hash,Extra
n64\Frogger 2 (U) [!].z64,hash not found,6e2179641d873165621155aeb8be40b4b32a9916,
n64\LEGO Racers (U) [!].z64,hash not found,8ebaa3cf8c2ef60330337ec9d409d71b8fee11da,
