Game,Error,Hash,Extra
gba1\Finding Nemo (U)(Mode7).zip,hash not found,,
gba1\Finding Nemo - Arata na Bouken (J)(Caravan).zip,hash not found,,
gba1\Flame of Recca (J)(Eurasia).zip,hash not found,,
gba1\Formation Soccer 2002 (J)(Rapid Fire).zip,hash not found,,
gba1\Frogger Advance - The Great Quest (U)(Mode7).zip,hash not found,,
gba1\Frogger's Journey - The Forgotten Relic (U)(Mode7).zip,hash not found,,
gba1\GBADev 2004Mbit Competition (U)(GBADev.org).zip,hash not found,,
gba1\GT Advance 3 - Pro Concept Racing (U)(Mode7).zip,hash not found,,
gba1\Gekitou Densetsu Noah - Dream Management (J)(Rising Sun).zip,hash not found,,
gba1\Gekitou! Car Battler Go! (J)(Rapid Fire).zip,hash not found,,
gba1\Goemon New Age Shutsudou! (J)(Eurasia).zip,hash not found,,
gba1\Gradius Advance (E)(Eurasia).zip,hash not found,,
gba1\Groove Adventure Rave - Hikari to Yami no Daikessen 2 (J)(Eurasia).zip,hash not found,,
gba1\Guru Logic Champ (J)(Nobody).zip,hash not found,,
gba1\Gyakuten Saiban (J)(Lightforce).zip,hash not found,,
gba1\Hajime no Ippo - The Fighting (J)(Eurasia).zip,hash not found,,
gba1\Hamster Club 4 (J)(Rising Sun).zip,hash not found,,
gba1\Heidi - The Game (E)(Rising Sun).zip,hash not found,,
gba1\High Heat - Major League Baseball 2002 (U)(Mode7).zip,hash not found,,
gba1\High Heat - Major League Baseball 2003 (U)(Mode7).zip,hash not found,,
gba1\Hitsuji no Kimochi (J)(Independent).zip,hash not found,,
gba1\Hoshi no Kirby - Yume no Izumi Deluxe (J)(Eurasia).zip,hash not found,,
gba1\Hobbit no Bouken (J)(Caravan).zip,hash not found,,
gba1\Hot Wheels Advance (J)(Independent).zip,hash not found,,
gba1\Hudson Best Collection Vol. 4 - Nazotoki Collection (J)(sUppLeX).zip,hash not found,,
gba1\Hudson Best Collection Vol. 6 - Bouken Jima Collection (J)(Caravan).zip,hash not found,,
gba1\Hugo - Bukkazoom (E)(Rising Sun).zip,hash not found,,
gba1\Hyper Sports - 2002 Winter (J)(Eurasia).zip,hash not found,,
gba1\Ikkoku Hattori - Kore 1 Hon de 8 Shurui! (J)(Rapid Fire).zip,hash not found,,
gba1\International Superstar Soccer (E)(Eurasia).zip,hash not found,,
gba1\Iridion II (U)(Mugs).zip,hash not found,,
gba1\J-League Winning Eleven Advance 2002 (J)(Eurasia).zip,hash not found,,
gba1\Jackie Chan Adventures - Legend of the Dark Hand (U)(Mode7).zip,hash not found,,
gba1\Jajamaru Jr. Denshouki - Jaleco Memorial (J)(Rising Sun).zip,hash not found,,
gba1\Japan Pro Mahjong Tetsuman Advance (J)(Mugs).zip,hash not found,,
gba1\Jinsei Game Advance (J)(Independent).zip,hash not found,,
gba1\Jitsutou Pachislo Hisshouhou - Juuoh Advance (J)(Independent).zip,hash not found,,
gba1\Jonny Moseley Mad Trix (U)(Mode7).zip,hash not found,,
gba1\Jurassic Park Institute Tour (J)(Rising Sun).zip,hash not found,,
gba1\Justice League - Injustice for All (U)(Eurasia).zip,hash not found,,
gba1\K-1 Pocket Grand Prix (J)(Nobody).zip,hash not found,,
gba1\Kaeru B Back (J)(Rapid Fire).zip,hash not found,,
gba1\Kaiketsu Zorori to Mahou no Yuuenchi (J)(Caravan).zip,hash not found,,
gba1\Karnaaj Rally (U)(DCS).zip,hash not found,,
gba1\Kawa no Nushi Tsuri 5 (J)(Independent).zip,hash not found,,
gba1\Kaze no Klonoa 2 G2 - Dream Champ Tournament (J)(Eurasia).zip,hash not found,,
gba1\Kelly Slater's Pro Surfer (U)(Mode7).zip,hash not found,,
gba1\Kikaika Gunta - Mech Platoon (J)(Independent).zip,hash not found,,
gba1\Kiki Kaikai Advance (J)(Eurasia).zip,hash not found,,
gba1\Klonoa - Empire of Dreams (U)(Mode7).zip,hash not found,,
gba1\Klonoa Heroes - Densetsu no Star Medal (J)(Eurasia).zip,hash not found,,
gba1\Koinu-Chan no Hajimete no Osanpo - Koino no Kokoro Ikusei Game (J)(Rising Sun).zip,hash not found,,
gba1\Konami Collector's Series - Arcade Advanced (U)(Mode7).zip,hash not found,,
gba1\Kunio kun Nekketsu Collection 1 (J)(WRG).zip,hash not found,,
gba1\Kuniokun Nekketsu Collection 3 (J)(Caravan).zip,hash not found,,
gba1\Lady Sia (U)(MUGS).zip,hash not found,,
gba1\Legend of Dynamic - Goushouden (J)(Rising Sun).zip,hash not found,,
gba1\Lego Island 2 - The Brickster's Revenge (U)(Mode7).zip,hash not found,,
gba1\Legendz - Buhwarhaneun Siryeonyi Seom (K)(AC8).zip,hash not found,,
gba1\Lizzie McGuire (E)(Rising Sun).zip,hash not found,,
gba1\Madden 2004 (U)(Mode7).zip,hash not found,,
gba1\Madden NFL 07 (U)(Rising Sun).zip,hash not found,,
gba1\Mahou Sensei Negima! 1 Tokime - Magister Negi Magi (J)(Caravan).zip,hash not found,,
gba1\Manic Miner (E)(Eurasia).zip,hash not found,,
gba1\Mat Hoffman's Pro BMX (U)(Lightforce).zip,hash not found,,
gba1\Mario Power Tennis (E)(Rising Sun).zip,hash not found,,
gba1\Medarot G - Kuwagata Version (J)(Independent).zip,hash not found,,
gba1\MegaMan Battle Network 2 (U)(Mode7).zip,hash not found,,
gba1\Metalgun Slinger (J)(Independent).zip,hash not found,,
gba1\Maya The Bee (E)(Endless Piracy).zip,hash not found,,
gba1\Mickey no Pocket Resort (J)(Caravan).zip,hash not found,,
gba1\Midnight Club - Street Racing (U)(Lightforce).zip,hash not found,,
gba1\Mighty Beanz Pocket Puzzles (U)(Rising Sun).zip,hash not found,,
gba1\Monster Force (U)(Eurasia).zip,hash not found,,
gba1\Monsters Inc. (U)(Mode7).zip,hash not found,,
gba1\Motocross Maniacs Advance (U)(Mode7).zip,hash not found,,
gba1\Mr. Driller Ace - Strange Bacteria (J)(Eurasia).zip,hash not found,,
gba1\Muppet Pinball Mayhem (U)(Venom).zip,hash not found,,
gba1\NBA Jam 2002 (U)(Mode7).zip,hash not found,,
gba1\Nakayoshi Pet Advance Series 4 - Kawaii Koinu Kogatainuhen (J)(Evasion).zip,hash not found,,
gba1\Naruto (J)(Eurasia).zip,hash not found,,
gba1\Naruto RPG - Uketsugareshi Hi no Ishi (J)(Independent).zip,hash not found,,
gba1\Nishihara Rieko no Tendou Maajan (J)(Independent).zip,hash not found,,
gba1\Nobunaga no Yabou (J)(Eurasia).zip,hash not found,,
gba1\Ochainu Kururin (J)(Caravan).zip,hash not found,,
gba1\Ojaru Maru - Tsuki Hikari Machi Tour de Ojaru (J)(Trashman).zip,hash not found,,
gba1\Oshare Princess 3 (J)(Rising Sun).zip,hash not found,,
gba1\Pac-Man Collection (U)(Mode7).zip,hash not found,,
gba1\Ougon no Taiyou - Shitsu Warate Jidai (J)(Eurasia).zip,hash not found,,
gba1\Pink Panther Pinkadelic Pursuit (U)(Mugs).zip,hash not found,,
gba1\Personal Data Assistant for Gameboy Advance (U)(Independent).zip,hash not found,,
gba1\Pinky Monkey Town (J)(Independent).zip,hash not found,,
gba1\Pinobee & Phoebee (J)(Independent).zip,hash not found,,
gba1\Pocket Music (E)(Venom).zip,hash not found,,
gba1\Pokemon - Versione Smeraldo (I)(Pokemon Rapers).zip,hash not found,,
gba1\Pokemon Ruby (U)(Mugs).zip,hash not found,,
gba1\Premier Manager 2004-05 (E)(Rising Sun).zip,hash not found,,
gba1\Pukupuku Tennen Kairanban Koi no Cupid Daisakusen (J)(Caravan).zip,hash not found,,
gba1\Puyo Pop (U)(Mode7).zip,hash not found,,
gba1\RPG Tsukuru Advance (J)(Mugs).zip,hash not found,,
gba1\Rampage - Puzzle Attack (U)(Mode7).zip,hash not found,,
gba1\Razor Freestyle Scooter (U)(Lightforce).zip,hash not found,,
gba1\Relaxuma na Mainichi (J)(Caravan).zip,hash not found,,
gba1\Robot Ponkotto 2 - Cross Version (J)(Eurasia).zip,hash not found,,
gba1\Robot Ponkotto 2 - Ring Version (J)(Eurasia).zip,hash not found,,
gba1\Robot Wars - Extreme Destruction (E)(Mode7).zip,hash not found,,
gba1\Robotech - The Macross Saga (U)(Mode7).zip,hash not found,,
gba1\RockMan & Forte (J)(Eurasia).zip,hash not found,,
gba1\RockMan Zero (J)(Eurasia).zip,hash not found,,
gba1\Rockman EXE Battlechip GP (J)(Eurasia).zip,hash not found,,
gba1\Rocky (U)(Venom).zip,hash not found,,
gba1\SD Gundam G Generation Advance (J)(Independent).zip,hash not found,,
gba1\SK8 - Tony Hawk's Pro Skater 2 (J)(Independent).zip,hash not found,,
gba1\Salt Lake 2002 (U)(Mode7).zip,hash not found,,
gba1\Samurai Jack - The Amulet of Time (U)(Mode7).zip,hash not found,,
gba1\Santa Claus Saves the Earth (E)(Eurasia).zip,hash not found,,
gba1\Shanghai (J)(Rising Sun).zip,hash not found,,
gba1\Scurge Hive (U)(Rising Sun).zip,hash not found,,
gba1\Sheep (E)(Mode7).zip,hash not found,,
gba1\Shin Kisekae Monogatari (J)(Rising Sun).zip,hash not found,,
gba1\Shin Megami Tensei - Devil Children - Puzzle de Call (J)(BatMan).zip,hash not found,,
gba1\Shin Megami Tensei 2 (J)(Rising Sun).zip,hash not found,,
gba1\Silent Scope (U)(Eurasia).zip,hash not found,,
gba1\Silvanian Family Yousei no Stick to Fushigi no Marroine no Onnanoko (J)(Rising Sun).zip,hash not found,,
gba1\Simple 2960 Vol. 4 - The Trump (J)(Rising Sun).zip,hash not found,,
gba1\Slot-Pro Advance - Takarafune & Oedoshima Fubuki 2 (J)(Independent).zip,hash not found,,
gba1\Sonic Pinball Party (U)(Venom).zip,hash not found,,
gba1\Space Invaders EX (J)(Eurasia).zip,hash not found,,
gba1\Spider-Man - Mysterio's Menace (U)(Mode7).zip,hash not found,,
gba1\Spirit - Stallion Of The Cimarron (U)(Mode7).zip,hash not found,,
"gba1\Spongebob SquarePants - Lights, Camera, Pants! (E)(Rising Sun).zip",hash not found,,
gba1\Star X (U)(Mode7).zip,hash not found,,
gba1\SpongeBob SquarePants Volume 1 - Gameboy Advance Video (U)(TrashMan).zip,hash not found,,
gba1\Street Fighter Zero 3 Upper (J)(Eurasia).zip,hash not found,,
gba1\Summon Night (J)(GBANow).zip,hash not found,,
gba1\Steel Empire (E)(Rising Sun).zip,hash not found,,
