Game,Error,Hash,Extra
gbc\58-in-1 (Unl) [C][b1].zip,hash not found,,
gbc\72-in-1 (Unl) [C][b1].zip,hash not found,,
gbc\GPSboy (U) [C].zip,hash not found,,
gbc\Kirby's Tilt 'n' Tumble (U) [C][!].zip,hash not found,,
gbc\Legend of Heroes (Unl) [C][!].zip,hash not found,,
gbc\Super Mario Special 3 (Unl) [C][b1].zip,hash not found,,
