Game,Error,Hash,Extra
gb\Hercules (U) [S].zip,hash not found,215cceaccd4a33a2da6205f33a2803ff4004e2b1,
gb\Ironman - X-O Manowar in Heavy Metal (U) [S][!].zip,hash not found,4ee9ba152e2339497d6ad49aca6f2c78a8431480,
gb\Ken Griffey Jr. Presents Major League Baseball (U) [S][!].zip,hash not found,7092afa1c1ea592bcd3afd185ae17a7b1cdf6800,
gb\NHL Hockey '96 (U) [S][!].zip,hash not found,fb0389a7f4e99a7974dc11b4602af441016fd57c,
gb\Pocket Bomberman (U) [S].zip,hash not found,34f377a6de2961fe16bfb854e0cebc7fdba7cf4b,
gb\Super Ayanami Discovery SlideShow V1.1 (Unl).zip,hash not found,895d5881c04bec2dcccbc2e63194b2c544648d2d,
gb\Super Color-Advance 46-in-1 - All USA Version (Unl) [b2].zip,hash not found,8f48efdaa6d5f8252b0cf073f711c3ec50049315,
gb\Supreme 105 in 1 (Menu) [p1][b1].zip,hash not found,a46990a3333a93cb659946e2b458cccf81f9adaf,
gb\Tiger A Dragon (Unl).zip,hash not found,d327c880e7ffb9db0422e09310031e58a32b8433,
