Game,Error,Hash,Extra
"atarilynx\Baseball Heroes (USA, Europe) [b].lnx",hash not found,76da4856eb15c092430f1031b228b8adb24df286,
"atarilynx\Basketbrawl (USA, Europe).lnx",hash not found,7f5e64fe35da3c4fd217ffff99a418e0d46b9067,
"atarilynx\Crystal Mines II (USA, Europe).lnx",hash not found,90525e062460d4d52aed4c8995a1787cc38709db,
"atarilynx\Ishido - The Way of Stones (USA, Europe).lnx",hash not found,9aa4b613d09585d7f442571d652d15231b56fa82,
"atarilynx\Joust (USA, Europe).lnx",hash not found,21685cb38dd94afd80cbf40cc165464c111ba674,
